,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.96066389e+03 5.60025618e+01 1.87070272e+00],[0.00101664 0.00106113 0.00095025]
1,H-α,Gaussian,2,[4.96066419e+03 5.60016469e+01 1.87000489e+00],[0.00099414 0.00097751 0.0010063 ]
2,H-β,Gaussian,1,[5.00886997e+03 1.56088260e+02 1.93061393e+00],[0.00104854 0.00096438 0.00100588]
3,H-β,Gaussian,2,[5.00887141e+03 1.56085508e+02 1.93040929e+00],[0.00101607 0.00100834 0.00101448]
4,He-I,Gaussian,1,[4.86339885e+03 1.45730549e+01 2.00710622e+00],[0.00104598 0.00105395 0.00104283]
5,He-I,Gaussian,2,[4.86339681e+03 1.45718492e+01 2.00991550e+00],[0.00102454 0.00103078 0.00107883]
6,"N-I,1",Gaussian,1,[5.20043774e+03 1.72406845e+00 1.97762477e+00],[0.00095649 0.0010832  0.00098822]
7,"N-I,1",Gaussian,2,[5.20043728e+03 1.72217057e+00 1.97652825e+00],[0.00093138 0.00104468 0.00099908]
8,"N-I,2",Gaussian,1,[5.20043797e+03 1.72168947e+00 1.97823678e+00],[0.00100031 0.0009418  0.00098622]
9,"N-I,2",Gaussian,2,[5.20043765e+03 1.72220821e+00 1.97874718e+00],[0.00094267 0.00099157 0.00104008]
10,"N-II,1",Gaussian,1,[5.87678824e+03 1.44293951e+00 3.80749877e+00],[0.00104488 0.00099697 0.00091905]
11,"N-II,1",Gaussian,2,[5.87678596e+03 1.44172595e+00 3.80585081e+00],[0.00093719 0.00102621 0.00102218]
12,"N-II,2",Gaussian,1,[6.30289142e+03 3.78318609e+00 2.19318769e+00],[0.00101458 0.00093478 0.00094152]
13,"N-II,2",Gaussian,2,[6.30288938e+03 3.78193506e+00 2.19143477e+00],[0.00101215 0.00106037 0.00091151]
14,"O-I,1",Gaussian,1,[6.36560801e+03 1.25080977e+00 2.12298283e+00],[0.00106738 0.00100362 0.00096046]
15,"O-I,1",Gaussian,2,[6.36560624e+03 1.25155926e+00 2.12325711e+00],[0.00099262 0.00093368 0.00092808]
16,"O-I,2",Gaussian,1,[6.54997783e+03 1.19855724e+01 2.42099685e+00],[0.00100483 0.00092462 0.0010039 ]
17,"O-I,2",Gaussian,2,[6.54997880e+03 1.19865314e+01 2.41831078e+00],[0.00106167 0.00100629 0.000959  ]
18,"O-III,1",Gaussian,1,[6.58627475e+03 3.38975528e+01 2.70795711e+00],[0.00090978 0.00100913 0.00096834]
19,"O-III,1",Gaussian,2,[6.58627669e+03 3.38970027e+01 2.70671241e+00],[0.00100248 0.00094965 0.00107818]
20,"O-III,2",Gaussian,1,[6.56507711e+03 4.25643851e+01 2.74533318e+00],[0.00091877 0.00098568 0.00097107]
21,"O-III,2",Gaussian,2,[6.56507785e+03 4.25625246e+01 2.74549797e+00],[0.00114706 0.00096553 0.00089036]
22,"S-II,1",Gaussian,1,[6.71799743e+03 1.22747173e+01 2.55408185e+00],[0.00095851 0.0009579  0.00101806]
23,"S-II,1",Gaussian,2,[6.71799712e+03 1.22741705e+01 2.55529393e+00],[0.00098162 0.00097775 0.00084075]
24,"S-II,2",Gaussian,1,[6.73348367e+03 1.10256973e+01 2.48440744e+00],[0.00103023 0.00091386 0.00106314]
25,"S-II,2",Gaussian,2,[6.73348349e+03 1.10243848e+01 2.48359602e+00],[0.00099216 0.00107321 0.0010078 ]
26,Continuum,Continuum,0,[6.73348349e+03 1.10243848e+01 2.48359602e+00],[0. 0. 0.]
